qas_id,review,question,human_ans_spans,human_ans_indices
q149,"The Regional Rail Museums of India hold the same importance as the National Rail Museum, with the fascinating history of Indian Railways on display. The Chennai Rail Museum has five indoor galleries and a large outdoor exhibits park. The museum opened on 16 April 2002 in the Furnishing Division of the Integral Coach Factory.The 6.25-acre (2.53 ha) museum has technical and heritage exhibits, with a sizable collection of steam engines from the British Raj.",How big is the chennai rail museum?,6.25-acre (2.53 ha),"(330, 349)"
q150,"The Regional Rail Museums of India hold the same importance as the National Rail Museum, with the fascinating history of Indian Railways on display. The Chennai Rail Museum has five indoor galleries and a large outdoor exhibits park. The museum opened on 16 April 2002 in the Furnishing Division of the Integral Coach Factory.The 6.25-acre (2.53 ha) museum has technical and heritage exhibits, with a sizable collection of steam engines from the British Raj.",What collection does the chennai rail museum have?,steam engines from the British Raj,"(423, 457)"
q151,"The Chennai Rail Museum is located at the North West side of ICF Furnishing Division, adjacent to New Avadi road. Duration: 1-2 hours. Railway Museum Timing: 10:00 am - 05:30 pm. Railway Museum Price: 40 INR. How to Reach Railway Museum: Ask for Rail Museum Bus Station.",Where is the chennai rail museum?,North West side of ICF Furnishing Division,"(42, 84)"
q153,"The Chennai Rail Museum is located at the North West side of ICF Furnishing Division, adjacent to New Avadi road. Duration: 1-2 hours. Railway Museum Timing: 10:00 am - 05:30 pm. Railway Museum Price: 40 INR. How to Reach Railway Museum: Ask for Rail Museum Bus Station.",What are the timings at chennai rail museum?,10:00 am - 05:30 pm,"(158, 177)"
q154,"The Chennai Rail Museum is located at the North West side of ICF Furnishing Division, adjacent to New Avadi road. Duration: 1-2 hours. Railway Museum Timing: 10:00 am - 05:30 pm. Railway Museum Price: 40 INR. How to Reach Railway Museum: Ask for Rail Museum Bus Station.",What is the rail museum ticket price?,40 INR,"(201, 207)"
q155,"The Chennai Rail Museum is located at the North West side of ICF Furnishing Division, adjacent to New Avadi road. Duration: 1-2 hours. Railway Museum Timing: 10:00 am - 05:30 pm. Railway Museum Price: 40 INR. How to Reach Railway Museum: Ask for Rail Museum Bus Station.",How to reach chennai rail museum?,Ask for Rail Museum Bus Station,"(238, 269)"
q156,"B. M. Birla Planetarium is located at Kotturpuram in the Periyar Science and Technology Centre. Built in 1988 ,it is considered the most modern planetarium in India, providing a virtual tour of the night sky and holding cosmic shows on a special aluminium inner dome.Since its inception, the planetarium has introduced 35 programmes on astronomy. Program themes are changed every 3 months. Shows are conducted in English and Tamil. Planetarium is open on all days except on national holidays from 10:00 am to 5:45 pm.",Where is the Birla planetarium?,Kotturpuram,"(38, 49)"
q157,"B. M. Birla Planetarium is located at Kotturpuram in the Periyar Science and Technology Centre. Built in 1988 ,it is considered the most modern planetarium in India, providing a virtual tour of the night sky and holding cosmic shows on a special aluminium inner dome.Since its inception, the planetarium has introduced 35 programmes on astronomy. Program themes are changed every 3 months. Shows are conducted in English and Tamil. Planetarium is open on all days except on national holidays from 10:00 am to 5:45 pm.",When was birla planetarium established?,1988,"(105, 109)"
q158,"B. M. Birla Planetarium is located at Kotturpuram in the Periyar Science and Technology Centre. Built in 1988 ,it is considered the most modern planetarium in India, providing a virtual tour of the night sky and holding cosmic shows on a special aluminium inner dome.Since its inception, the planetarium has introduced 35 programmes on astronomy. Program themes are changed every 3 months. Shows are conducted in English and Tamil. Planetarium is open on all days except on national holidays from 10:00 am to 5:45 pm.",What can I see at Birla Planetarium?,virtual tour of the night sky,"(178, 207)"
q159,"B. M. Birla Planetarium is located at Kotturpuram in the Periyar Science and Technology Centre. Built in 1988 ,it is considered the most modern planetarium in India, providing a virtual tour of the night sky and holding cosmic shows on a special aluminium inner dome.Since its inception, the planetarium has introduced 35 programmes on astronomy. Program themes are changed every 3 months. Shows are conducted in English and Tamil. Planetarium is open on all days except on national holidays from 10:00 am to 5:45 pm.",How many space programs does Birla Planetarium have?,35 programmes on astronomy,"(319, 345)"
q160,"B. M. Birla Planetarium is located at Kotturpuram in the Periyar Science and Technology Centre. Built in 1988 ,it is considered the most modern planetarium in India, providing a virtual tour of the night sky and holding cosmic shows on a special aluminium inner dome.Since its inception, the planetarium has introduced 35 programmes on astronomy. Program themes are changed every 3 months. Shows are conducted in English and Tamil. Planetarium is open on all days except on national holidays from 10:00 am to 5:45 pm.",How often are the program themes changed at birla planetarium?,every 3 months,"(374, 388)"
q162,"B. M. Birla Planetarium is located at Kotturpuram in the Periyar Science and Technology Centre. Built in 1988 ,it is considered the most modern planetarium in India, providing a virtual tour of the night sky and holding cosmic shows on a special aluminium inner dome.Since its inception, the planetarium has introduced 35 programmes on astronomy. Program themes are changed every 3 months. Shows are conducted in English and Tamil. Planetarium is open on all days except on national holidays from 10:00 am to 5:45 pm.",What are the timings at Birla Planetarium?,10:00 am to 5:45 pm,"(497, 516)"
q163,"B. M. Birla Planetarium is located at Kotturpuram in the Periyar Science and Technology Centre. Built in 1988 ,it is considered the most modern planetarium in India, providing a virtual tour of the night sky and holding cosmic shows on a special aluminium inner dome.Since its inception, the planetarium has introduced 35 programmes on astronomy. Program themes are changed every 3 months. Shows are conducted in English and Tamil. Planetarium is open on all days except on national holidays from 10:00 am to 5:45 pm.",Is the birla planetarium open on all days?,open on all days except on national holidays,"(447, 491)"
q164,"Among all the popular sightseeing places in Chennai, Lighthouse is one such place that allows you to witness the mesmerizing beauty of Marina Beach and the entire city from the top. To visit the Lighthouse in Chennai, Indians need to pay INR 10 (adults) and INR 5 (children) below 12 years. For foreigners, there is an entry charge of INR 25 per head. It welcomes its tourists from 10:00 AM to 1:00 PM and 3:00 PM to 5:00 PM on all days except Monday. Lighthouse can be easily accessed public transport.",Where is the chennai lighthouse?,Marina Beach,"(135, 147)"
q165,"Among all the popular sightseeing places in Chennai, Lighthouse is one such place that allows you to witness the mesmerizing beauty of Marina Beach and the entire city from the top. To visit the Lighthouse in Chennai, Indians need to pay INR 10 (adults) and INR 5 (children) below 12 years. For foreigners, there is an entry charge of INR 25 per head. It welcomes its tourists from 10:00 AM to 1:00 PM and 3:00 PM to 5:00 PM on all days except Monday. Lighthouse can be easily accessed public transport.",What can I see at chennai lighthouse?,mesmerizing beauty of Marina Beach,"(113, 147)"
q166,"Among all the popular sightseeing places in Chennai, Lighthouse is one such place that allows you to witness the mesmerizing beauty of Marina Beach and the entire city from the top. To visit the Lighthouse in Chennai, Indians need to pay INR 10 (adults) and INR 5 (children) below 12 years. For foreigners, there is an entry charge of INR 25 per head. It welcomes its tourists from 10:00 AM to 1:00 PM and 3:00 PM to 5:00 PM on all days except Monday. Lighthouse can be easily accessed public transport.",What is the entry fee for indians at chennai lighthouse?,INR 10 (adults) and INR 5 (children),"(238, 274)"
q167,"Among all the popular sightseeing places in Chennai, Lighthouse is one such place that allows you to witness the mesmerizing beauty of Marina Beach and the entire city from the top. To visit the Lighthouse in Chennai, Indians need to pay INR 10 (adults) and INR 5 (children) below 12 years. For foreigners, there is an entry charge of INR 25 per head. It welcomes its tourists from 10:00 AM to 1:00 PM and 3:00 PM to 5:00 PM on all days except Monday. Lighthouse can be easily accessed public transport.",What is the entry fees for foreigners at Chennai lighthouse?,INR 25 per head,"(335, 350)"
q168,"Among all the popular sightseeing places in Chennai, Lighthouse is one such place that allows you to witness the mesmerizing beauty of Marina Beach and the entire city from the top. To visit the Lighthouse in Chennai, Indians need to pay INR 10 (adults) and INR 5 (children) below 12 years. For foreigners, there is an entry charge of INR 25 per head. It welcomes its tourists from 10:00 AM to 1:00 PM and 3:00 PM to 5:00 PM on all days except Monday. Lighthouse can be easily accessed public transport.",What are the timings at chennai lighthouse?,10:00 AM to 1:00 PM and 3:00 PM to 5:00 PM,"(382, 424)"
q169,"Among all the popular sightseeing places in Chennai, Lighthouse is one such place that allows you to witness the mesmerizing beauty of Marina Beach and the entire city from the top. To visit the Lighthouse in Chennai, Indians need to pay INR 10 (adults) and INR 5 (children) below 12 years. For foreigners, there is an entry charge of INR 25 per head. It welcomes its tourists from 10:00 AM to 1:00 PM and 3:00 PM to 5:00 PM on all days except Monday. Lighthouse can be easily accessed public transport.",Is the chennai lighthouse open on all days?,all days except Monday,"(428, 450)"
q170,"Among all the popular sightseeing places in Chennai, Lighthouse is one such place that allows you to witness the mesmerizing beauty of Marina Beach and the entire city from the top. To visit the Lighthouse in Chennai, Indians need to pay INR 10 (adults) and INR 5 (children) below 12 years. For foreigners, there is an entry charge of INR 25 per head. It welcomes its tourists from 10:00 AM to 1:00 PM and 3:00 PM to 5:00 PM on all days except Monday. Lighthouse can be easily accessed public transport.",how to reach chennai lighthouse?,public transport,"(486, 502)"
q171,"Valluvar Kottam is located at the intersection of Kodambakkam High Road and the Village Road. To reach there, you can take public transport. It is dedicated to the well-known  poet Thiruvalluvar, who penned the well-known Thirukkural more than 2,000 years ago. The architectural pattern of the Valluvar Kottam is like a temple chariot (39 m high), inside which there is a huge stone effigy of Thiruvalluvar. A unique feature of the Valluvar Kottam is that it stands baseless, without any pillar.",Where is Valluvar Kottam?,intersection of Kodambakkam High Road and the Village Road,"(34, 92)"
q172,"Valluvar Kottam is located at the intersection of Kodambakkam High Road and the Village Road. To reach there, you can take public transport. It is dedicated to the well-known  poet Thiruvalluvar, who penned the well-known Thirukkural more than 2,000 years ago. The architectural pattern of the Valluvar Kottam is like a temple chariot (39 m high), inside which there is a huge stone effigy of Thiruvalluvar. A unique feature of the Valluvar Kottam is that it stands baseless, without any pillar.",How to reach Valluvar kottam?,public transport,"(123, 139)"
q173,"Valluvar Kottam is located at the intersection of Kodambakkam High Road and the Village Road. To reach there, you can take public transport. It is dedicated to the well-known  poet Thiruvalluvar, who penned the well-known Thirukkural more than 2,000 years ago. The architectural pattern of the Valluvar Kottam is like a temple chariot (39 m high), inside which there is a huge stone effigy of Thiruvalluvar. A unique feature of the Valluvar Kottam is that it stands baseless, without any pillar.",Who is valluvar kottam dedicated to?,well-known  poet Thiruvalluvar,"(164, 194)"
q174,"Valluvar Kottam is located at the intersection of Kodambakkam High Road and the Village Road. To reach there, you can take public transport. It is dedicated to the well-known  poet Thiruvalluvar, who penned the well-known Thirukkural more than 2,000 years ago. The architectural pattern of the Valluvar Kottam is like a temple chariot (39 m high), inside which there is a huge stone effigy of Thiruvalluvar. A unique feature of the Valluvar Kottam is that it stands baseless, without any pillar.",What did Thiruvalluvar write?,Thirukkural,"(222, 233)"
q176,"Valluvar Kottam is located at the intersection of Kodambakkam High Road and the Village Road. To reach there, you can take public transport. It is dedicated to the well-known  poet Thiruvalluvar, who penned the well-known Thirukkural more than 2,000 years ago. The architectural pattern of the Valluvar Kottam is like a temple chariot (39 m high), inside which there is a huge stone effigy of Thiruvalluvar. A unique feature of the Valluvar Kottam is that it stands baseless, without any pillar.",Describe the architecture os valluvar kottam.,like a temple chariot,"(313, 334)"
q177,"Valluvar Kottam is located at the intersection of Kodambakkam High Road and the Village Road. To reach there, you can take public transport. It is dedicated to the well-known  poet Thiruvalluvar, who penned the well-known Thirukkural more than 2,000 years ago. The architectural pattern of the Valluvar Kottam is like a temple chariot (39 m high), inside which there is a huge stone effigy of Thiruvalluvar. A unique feature of the Valluvar Kottam is that it stands baseless, without any pillar.",How tall is valluvar kottam?,39 m high,"(336, 345)"
q178,"Valluvar Kottam is located at the intersection of Kodambakkam High Road and the Village Road. To reach there, you can take public transport. It is dedicated to the well-known  poet Thiruvalluvar, who penned the well-known Thirukkural more than 2,000 years ago. The architectural pattern of the Valluvar Kottam is like a temple chariot (39 m high), inside which there is a huge stone effigy of Thiruvalluvar. A unique feature of the Valluvar Kottam is that it stands baseless, without any pillar.",What is there at Valluvar Kottam?,huge stone effigy of Thiruvalluvar,"(372, 406)"
q179,"Valluvar Kottam is located at the intersection of Kodambakkam High Road and the Village Road. To reach there, you can take public transport. It is dedicated to the well-known  poet Thiruvalluvar, who penned the well-known Thirukkural more than 2,000 years ago. The architectural pattern of the Valluvar Kottam is like a temple chariot (39 m high), inside which there is a huge stone effigy of Thiruvalluvar. A unique feature of the Valluvar Kottam is that it stands baseless, without any pillar.",Name a unique feature of Valluvar Kottam?,"it stands baseless, without any pillar","(456, 494)"
q180,"The Valluvar Kottam represents the glorious culture of the Tamils, and over 3000 blocks of stone were used to build it. Thirukkural shows the way to righteous living. And to commemorate this legacy, the construction of Valluvar Kottam began in the 1970s. Valluvar Kottam memorial monument is open to the public every day. It remains open from 8.30 AM to 5.30 PM. Valluvar Kottam entrance fee is ₹3 (for adults) and ₹2 (for kids).",What does the Valluvar kottam represent?,glorious culture of the Tamils,"(35, 65)"
q182,"The Valluvar Kottam represents the glorious culture of the Tamils, and over 3000 blocks of stone were used to build it. Thirukkural shows the way to righteous living. And to commemorate this legacy, the construction of Valluvar Kottam began in the 1970s. Valluvar Kottam memorial monument is open to the public every day. It remains open from 8.30 AM to 5.30 PM. Valluvar Kottam entrance fee is ₹3 (for adults) and ₹2 (for kids).",What is the significance of thirukkural?,Thirukkural shows the way to righteous living,"(120, 165)"
q183,"The Valluvar Kottam represents the glorious culture of the Tamils, and over 3000 blocks of stone were used to build it. Thirukkural shows the way to righteous living. And to commemorate this legacy, the construction of Valluvar Kottam began in the 1970s. Valluvar Kottam memorial monument is open to the public every day. It remains open from 8.30 AM to 5.30 PM. Valluvar Kottam entrance fee is ₹3 (for adults) and ₹2 (for kids).",When was valluvar kottam built?,1970s,"(248, 253)"
q184,"The Valluvar Kottam represents the glorious culture of the Tamils, and over 3000 blocks of stone were used to build it. Thirukkural shows the way to righteous living. And to commemorate this legacy, the construction of Valluvar Kottam began in the 1970s. Valluvar Kottam memorial monument is open to the public every day. It remains open from 8.30 AM to 5.30 PM. Valluvar Kottam entrance fee is ₹3 (for adults) and ₹2 (for kids).",is valluvar kottam open on all days?,open to the public every day,"(292, 320)"
q185,"The Valluvar Kottam represents the glorious culture of the Tamils, and over 3000 blocks of stone were used to build it. Thirukkural shows the way to righteous living. And to commemorate this legacy, the construction of Valluvar Kottam began in the 1970s. Valluvar Kottam memorial monument is open to the public every day. It remains open from 8.30 AM to 5.30 PM. Valluvar Kottam entrance fee is ₹3 (for adults) and ₹2 (for kids).",What are the timings at Valluvar kottam?,open to the public every day,"(343, 371)"
q186,"The Valluvar Kottam represents the glorious culture of the Tamils, and over 3000 blocks of stone were used to build it. Thirukkural shows the way to righteous living. And to commemorate this legacy, the construction of Valluvar Kottam began in the 1970s. Valluvar Kottam memorial monument is open to the public every day. It remains open from 8.30 AM to 5.30 PM. Valluvar Kottam entrance fee is ₹3 (for adults) and ₹2 (for kids).",what is the entrance fee at valluvar kottam?,₹3 (for adults) and ₹2 (for kids),"(405, 438)"
q187,"M. A. Chidambaram Stadium, commonly known as the Chepauk Stadium, is a cricket stadium in Chennai. Established in 1916, it is the second oldest cricket stadium in the country. The stadium is located at Chepauk, a few hundred meters from Marina beach. This stadium has hosted 12 Men's ODI matches across 4 World cup editions. The stadium is connected through the Chennai Metro by the Government Estate station.The Buckingham Canal runs tangentially to the north side of the stadium.",What is the other name of chepauk stadium?,M. A. Chidambaram Stadium,"(0, 25)"
q188,"M. A. Chidambaram Stadium, commonly known as the Chepauk Stadium, is a cricket stadium in Chennai. Established in 1916, it is the second oldest cricket stadium in the country. The stadium is located at Chepauk, a few hundred meters from Marina beach. This stadium has hosted 12 Men's ODI matches across 4 World cup editions. The stadium is connected through the Chennai Metro by the Government Estate station.The Buckingham Canal runs tangentially to the north side of the stadium.",When was chepauk stadium established?,1916,"(114, 118)"
q189,"M. A. Chidambaram Stadium, commonly known as the Chepauk Stadium, is a cricket stadium in Chennai. Established in 1916, it is the second oldest cricket stadium in the country. The stadium is located at Chepauk, a few hundred meters from Marina beach. This stadium has hosted 12 Men's ODI matches across 4 World cup editions. The stadium is connected through the Chennai Metro by the Government Estate station.The Buckingham Canal runs tangentially to the north side of the stadium.",Significance of chepauk stadium?,second oldest cricket stadium in the country,"(130, 174)"
q190,"M. A. Chidambaram Stadium, commonly known as the Chepauk Stadium, is a cricket stadium in Chennai. Established in 1916, it is the second oldest cricket stadium in the country. The stadium is located at Chepauk, a few hundred meters from Marina beach. This stadium has hosted 12 Men's ODI matches across 4 World cup editions. The stadium is connected through the Chennai Metro by the Government Estate station.The Buckingham Canal runs tangentially to the north side of the stadium.",What is the chepauk stadium?,a cricket stadium in Chennai,"(69, 97)"
q191,"M. A. Chidambaram Stadium, commonly known as the Chepauk Stadium, is a cricket stadium in Chennai. Established in 1916, it is the second oldest cricket stadium in the country. The stadium is located at Chepauk, a few hundred meters from Marina beach. This stadium has hosted 12 Men's ODI matches across 4 World cup editions. The stadium is connected through the Chennai Metro by the Government Estate station.The Buckingham Canal runs tangentially to the north side of the stadium.",Where is M A Chidambaram Stadium?,"Chepauk, a few hundred meters from Marina beach","(202, 249)"
q193,"M. A. Chidambaram Stadium, commonly known as the Chepauk Stadium, is a cricket stadium in Chennai. Established in 1916, it is the second oldest cricket stadium in the country. The stadium is located at Chepauk, a few hundred meters from Marina beach. This stadium has hosted 12 Men's ODI matches across 4 World cup editions. The stadium is connected through the Chennai Metro by the Government Estate station.The Buckingham Canal runs tangentially to the north side of the stadium.",How to reach Chepauk stadium?,Chennai Metro,"(362, 375)"
q194,"M. A. Chidambaram Stadium, commonly known as the Chepauk Stadium, is a cricket stadium in Chennai. Established in 1916, it is the second oldest cricket stadium in the country. The stadium is located at Chepauk, a few hundred meters from Marina beach. This stadium has hosted 12 Men's ODI matches across 4 World cup editions. The stadium is connected through the Chennai Metro by the Government Estate station.The Buckingham Canal runs tangentially to the north side of the stadium.",Which is the metro station for chepauk stadium?,Government Estate station,"(383, 408)"
q195,"M. A. Chidambaram Stadium, commonly known as the Chepauk Stadium, is a cricket stadium in Chennai. Established in 1916, it is the second oldest cricket stadium in the country. The stadium is located at Chepauk, a few hundred meters from Marina beach. This stadium has hosted 12 Men's ODI matches across 4 World cup editions. The stadium is connected through the Chennai Metro by the Government Estate station.The Buckingham Canal runs tangentially to the north side of the stadium.",What canal runs near chepauk stadium?,Buckingham Canal,"(413, 429)"
q196,"Napier Bridge is a bridge in Chennai, India, built over the Coovum River, connects Fort St. George with the Marina beach. As one of the city's oldest bridges, it was built in 1869 by Francis Napier who was the Governor of Madras from 1866 to 1872. Special lights  make it look like the bridge is floating on the river water. A combination of lighting effects has been created on the arches and surface using 464 bulbs and fixtures.",What river is the napier bridge built on?,Coovum River,"(60, 72)"
q197,"Napier Bridge is a bridge in Chennai, India, built over the Coovum River, connects Fort St. George with the Marina beach. As one of the city's oldest bridges, it was built in 1869 by Francis Napier who was the Governor of Madras from 1866 to 1872. Special lights  make it look like the bridge is floating on the river water. A combination of lighting effects has been created on the arches and surface using 464 bulbs and fixtures.",Where is Napier bridge?,Chennai,"(29, 36)"
q198,"Napier Bridge is a bridge in Chennai, India, built over the Coovum River, connects Fort St. George with the Marina beach. As one of the city's oldest bridges, it was built in 1869 by Francis Napier who was the Governor of Madras from 1866 to 1872. Special lights  make it look like the bridge is floating on the river water. A combination of lighting effects has been created on the arches and surface using 464 bulbs and fixtures.",What does the napier bridge connect?,connects Fort St. George with the Marina beach,"(74, 120)"
q199,"Napier Bridge is a bridge in Chennai, India, built over the Coovum River, connects Fort St. George with the Marina beach. As one of the city's oldest bridges, it was built in 1869 by Francis Napier who was the Governor of Madras from 1866 to 1872. Special lights  make it look like the bridge is floating on the river water. A combination of lighting effects has been created on the arches and surface using 464 bulbs and fixtures.",Significance of Napier bridge?,one of the city's oldest bridges,"(125, 157)"
q200,"Napier Bridge is a bridge in Chennai, India, built over the Coovum River, connects Fort St. George with the Marina beach. As one of the city's oldest bridges, it was built in 1869 by Francis Napier who was the Governor of Madras from 1866 to 1872. Special lights  make it look like the bridge is floating on the river water. A combination of lighting effects has been created on the arches and surface using 464 bulbs and fixtures.",When was Napier Bridge built?,1869,"(175, 179)"
q202,"Napier Bridge is a bridge in Chennai, India, built over the Coovum River, connects Fort St. George with the Marina beach. As one of the city's oldest bridges, it was built in 1869 by Francis Napier who was the Governor of Madras from 1866 to 1872. Special lights  make it look like the bridge is floating on the river water. A combination of lighting effects has been created on the arches and surface using 464 bulbs and fixtures.",What makes Napier Bridge Special?,Special lights  make it look like the bridge is floating,"(248, 304)"
q203,"Napier Bridge is a bridge in Chennai, India, built over the Coovum River, connects Fort St. George with the Marina beach. As one of the city's oldest bridges, it was built in 1869 by Francis Napier who was the Governor of Madras from 1866 to 1872. Special lights  make it look like the bridge is floating on the river water. A combination of lighting effects has been created on the arches and surface using 464 bulbs and fixtures.",How many Lights were used for the special lights on Napier Bridge?,464 bulbs,"(408, 417)"
q204,"The MGR Film City is an integrated film studio complex in Taramani, Chennai. It was established in 1994 mainly to attract filmmakers and tourists and named MGR Film City after the popular actor and late Chief Minister M. G. Ramachandran. Sets on Mughal and Japanese themes here are popular. Several movies including Avvai Shanmughi, Mudhalvan, Hey Ram were shot at the MGR Film City.",What is the MGR Film City?,integrated film studio complex,"(24, 54)"
q205,"The MGR Film City is an integrated film studio complex in Taramani, Chennai. It was established in 1994 mainly to attract filmmakers and tourists and named MGR Film City after the popular actor and late Chief Minister M. G. Ramachandran. Sets on Mughal and Japanese themes here are popular. Several movies including Avvai Shanmughi, Mudhalvan, Hey Ram were shot at the MGR Film City.",Where is MGR Film city?,"Taramani, Chennai","(58, 75)"
q207,"The MGR Film City is an integrated film studio complex in Taramani, Chennai. It was established in 1994 mainly to attract filmmakers and tourists and named MGR Film City after the popular actor and late Chief Minister M. G. Ramachandran. Sets on Mughal and Japanese themes here are popular. Several movies including Avvai Shanmughi, Mudhalvan, Hey Ram were shot at the MGR Film City.",what is the purpose of MGR Film city?,to attract filmmakers and tourists,"(111, 145)"
q208,"The MGR Film City is an integrated film studio complex in Taramani, Chennai. It was established in 1994 mainly to attract filmmakers and tourists and named MGR Film City after the popular actor and late Chief Minister M. G. Ramachandran. Sets on Mughal and Japanese themes here are popular. Several movies including Avvai Shanmughi, Mudhalvan, Hey Ram were shot at the MGR Film City.",who is MGR Film city named after?,popular actor and late Chief Minister M. G. Ramachandran,"(180, 236)"
q209,"The MGR Film City is an integrated film studio complex in Taramani, Chennai. It was established in 1994 mainly to attract filmmakers and tourists and named MGR Film City after the popular actor and late Chief Minister M. G. Ramachandran. Sets on Mughal and Japanese themes here are popular. Several movies including Avvai Shanmughi, Mudhalvan, Hey Ram were shot at the MGR Film City.",What sets are popular in MGR Film city?,Mughal and Japanese themes,"(246, 272)"
q210,"The MGR Film City is an integrated film studio complex in Taramani, Chennai. It was established in 1994 mainly to attract filmmakers and tourists and named MGR Film City after the popular actor and late Chief Minister M. G. Ramachandran. Sets on Mughal and Japanese themes here are popular. Several movies including Avvai Shanmughi, Mudhalvan, Hey Ram were shot at the MGR Film City.",Name a few movies shot at MGR Film city?,"Avvai Shanmughi, Mudhalvan","(316, 342"
q211,"The MGR film city also offers guided tours that provide a behind-the-scenes look at the filmmaking process and the opportunity to learn about the history of Indian cinema. Tips: Wear comfortable footwear, Carry sunscreen, sunglasses, and a hat. MGR film City remains open from 8 am to 8 pm . Entry fee is Rs. 25/-.",What does MGR Film city offer?,guided tours,"(30, 42)"
q212,"The MGR film city also offers guided tours that provide a behind-the-scenes look at the filmmaking process and the opportunity to learn about the history of Indian cinema. Tips: Wear comfortable footwear, Carry sunscreen, sunglasses, and a hat. MGR film City remains open from 8 am to 8 pm . Entry fee is Rs. 25/-.",What is the guided tour at MGR Film city about?,behind-the-scenes look at the filmmaking process,"(58, 106)"
q213,"The MGR film city also offers guided tours that provide a behind-the-scenes look at the filmmaking process and the opportunity to learn about the history of Indian cinema. Tips: Wear comfortable footwear, Carry sunscreen, sunglasses, and a hat. MGR film City remains open from 8 am to 8 pm . Entry fee is Rs. 25/-.",Give tips to enjoy MGR Fim city?,"Wear comfortable footwear, Carry sunscreen, sunglasses, and a hat.","(178, 244)"
q215,"The MGR film city also offers guided tours that provide a behind-the-scenes look at the filmmaking process and the opportunity to learn about the history of Indian cinema. Tips: Wear comfortable footwear, Carry sunscreen, sunglasses, and a hat. MGR film City remains open from 8 am to 8 pm . Entry fee is Rs. 25/-.",What is the Entry fees for MGR film city?,Rs. 25/-,"(305, 313)"
q216,"Chennai's vibrant shopping scene caters to every taste and budget, offering a delightful mix of traditional bazaars and modern malls. A few popular shopping malls in chennai are: Express Avenue, Phoenix Marketcity, Ampa Skywalk, Chennai Citi Centre and Spencer Plaza.",List a few popular shopping malls in chennai?,"Express Avenue, Phoenix Marketcity, Ampa Skywalk","(179, 227)"
q217,"Touted as the largest mall in South India, Express Avenue is a shopper's paradise. It houses a diverse range of brands, from luxury labels like Louis Vuitton and Zara to popular names like H&M and Lifestyle. Whether you seek trendy apparel, stylish footwear, or the latest electronics, Express Avenue has it all.  Prices range from affordable to high-end. The mall boasts a multiplex cinema, a bowling alley, a food court and even a gaming zone, making it a great place for a fun-filled day out.",Name the largest mall in south india?,Express Avenue,"(43, 57)"
q218,"Touted as the largest mall in South India, Express Avenue is a shopper's paradise. It houses a diverse range of brands, from luxury labels like Louis Vuitton and Zara to popular names like H&M and Lifestyle. Whether you seek trendy apparel, stylish footwear, or the latest electronics, Express Avenue has it all.  Prices range from affordable to high-end. The mall boasts a multiplex cinema, a bowling alley, a food court and even a gaming zone, making it a great place for a fun-filled day out.",What luxury brands can yyou find at Express Avenue?,Louis Vuitton and Zara,"(144, 166)"
q219,"Touted as the largest mall in South India, Express Avenue is a shopper's paradise. It houses a diverse range of brands, from luxury labels like Louis Vuitton and Zara to popular names like H&M and Lifestyle. Whether you seek trendy apparel, stylish footwear, or the latest electronics, Express Avenue has it all.  Prices range from affordable to high-end. The mall boasts a multiplex cinema, a bowling alley, a food court and even a gaming zone, making it a great place for a fun-filled day out.",What can you buy at Express Avenue?,"trendy apparel, stylish footwear, or the latest electronics","(225, 284)"
q220,"Touted as the largest mall in South India, Express Avenue is a shopper's paradise. It houses a diverse range of brands, from luxury labels like Louis Vuitton and Zara to popular names like H&M and Lifestyle. Whether you seek trendy apparel, stylish footwear, or the latest electronics, Express Avenue has it all.  Prices range from affordable to high-end. The mall boasts a multiplex cinema, a bowling alley, a food court and even a gaming zone, making it a great place for a fun-filled day out.",What is the price range at Express Avenue?,affordable to high-end,"(332, 354)"
q221,"Touted as the largest mall in South India, Express Avenue is a shopper's paradise. It houses a diverse range of brands, from luxury labels like Louis Vuitton and Zara to popular names like H&M and Lifestyle. Whether you seek trendy apparel, stylish footwear, or the latest electronics, Express Avenue has it all.  Prices range from affordable to high-end. The mall boasts a multiplex cinema, a bowling alley, a food court and even a gaming zone, making it a great place for a fun-filled day out.",what facilities are there at Express avenue?,"multiplex cinema, a bowling alley, a food court","(374, 421)"
q222,"Phoenix Marketcity exudes a luxurious vibe with its elegant interiors and international brands.  Think designer labels like Gucci and Dior alongside contemporary favourites like Michael Kors and MAC Cosmetics.  Expect a higher price range here, but the quality and variety are unmatched. You can buy apparel, accessories, homeware, furniture and decor and high-end kitchen appliances. Entertainment options include a multiplex cinema, a bowling alley, and fine-dining restaurants.",What brands can you find at phoenix marketcity?,Gucci and Dior,"(124, 138)"
q223,"Phoenix Marketcity exudes a luxurious vibe with its elegant interiors and international brands.  Think designer labels like Gucci and Dior alongside contemporary favourites like Michael Kors and MAC Cosmetics.  Expect a higher price range here, but the quality and variety are unmatched. You can buy apparel, accessories, homeware, furniture and decor and high-end kitchen appliances. Entertainment options include a multiplex cinema, a bowling alley, and fine-dining restaurants.",Is Phoenix mall high end?,Expect a higher price range here,"(211, 243)"
